family	genus	species	taxid	segment	refseqs
Adenoviridae	Aviadenovirus	Fowl aviadenovirus C	190063	None	NC_015323
Adenoviridae	Aviadenovirus	Fowl aviadenovirus D	190064	None	NC_000899
Adenoviridae	Mastadenovirus	Human mastadenovirus B	108098	None	NC_011202,NC_011203
Adenoviridae	Mastadenovirus	Human mastadenovirus C	129951	None	NC_001405
Adenoviridae	Mastadenovirus	Human mastadenovirus D	130310	None	NC_010956,NC_012959
Adenoviridae	Mastadenovirus	Human mastadenovirus E	130308	None	NC_017825,NC_003266
Adenoviridae	Mastadenovirus	Human mastadenovirus F	130309	None	NC_001454
Adenoviridae	Mastadenovirus	Simian adenovirus B	1165908	None	NC_034382
Alloherpesviridae	Cyprinivirus	Cyprinid herpesvirus 3	180230	None	NC_009127
Alphaflexiviridae	Mandarivirus	Citrus yellow vein clearing virus	1214459	None	NC_026592
Alphaflexiviridae	Potexvirus	Bamboo mosaic virus	35286	None	NC_001642
Alphaflexiviridae	Potexvirus	Cymbidium mosaic virus	12178	None	NC_001812
Alphaflexiviridae	Potexvirus	Pepino mosaic virus	112229	None	NC_004067
Alphaflexiviridae	Potexvirus	Plantago asiatica mosaic virus	28354	None	NC_003849
Alphaflexiviridae	Potexvirus	Potato virus X	12183	None	NC_011620
Alphasatellitidae	Clecrusatellite	Euphorbia yellow mosaic alphasatellite	1949199	None	NC_014630
Alphasatellitidae	Clecrusatellite	Melon chlorotic mosaic alphasatellite	2169825	None	NC_014379
Alphasatellitidae	Colecusatellite	Ageratum yellow vein India alphasatellite	1407058	None	NC_019546
Alphasatellitidae	Colecusatellite	Chilli leaf curl alphasatellite	1428342	None	NC_039234
Alphasatellitidae	Colecusatellite	Cotton leaf curl Gezira alphasatellite	679536	None	NC_013593
Alphasatellitidae	Colecusatellite	Cotton leaf curl Multan alphasatellite	1048668	None	NC_018082
Alphasatellitidae	Colecusatellite	Gossypium darwinii symptomless alphasatellite	656025	None	NC_039232
Alphasatellitidae	Colecusatellite	Tobacco curly shoot alphasatellite	926844	None	NC_005057
Alphasatellitidae	Gosmusatellite	Gossypium mustelinum symptomless alphasatellite	2169907	DNA alpha B	NC_038954
Alphasatellitidae	unknown	Cotton leaf curl Burewala alphasatellite	713091	None	NC_013803
Alphasatellitidae	unknown	Guar leaf curl alphasatellite	748170	None	NC_020502
Alphasatellitidae	unknown	Nanovirus-like particle	96892	None	NC_039079,NC_039081,NC_039080
Alphasatellitidae	unknown	Okra leaf curl alphasatellite	518829	None	NC_010620,NC_005954
Alphasatellitidae	unknown	Sida yellow vein China alphasatellite	1293961	None	NC_023484
Alphasatellitidae	unknown	Tomato leaf curl alphasatellite	1407057	None	NC_033274
Alphatetraviridae	Omegatetravirus	Nudaurelia capensis omega virus	12541	None	NC_038335
Amalgaviridae	Amalgavirus	Southern tomato virus	591166	None	NC_011591
Amnoonviridae	Tilapinevirus	Tilapia tilapinevirus	2034996	1	NC_029926
Anelloviridae	Alphatorquevirus	Torque teno virus 1	687340	None	NC_002076
Anelloviridae	Betatorquevirus	TTV-like mini virus	93678	None	NC_020498
Anelloviridae	Betatorquevirus	Torque teno mini virus 10	2065036	None	NC_038345
Anelloviridae	Gyrovirus	Avian gyrovirus 2	1002273	None	NC_015396
Anelloviridae	Gyrovirus	Chicken anemia virus	12618	None	NC_001427
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1a	687386	None	NC_014070
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1b	687387	None	NC_027059
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2a	1968861	None	NC_014092
Anelloviridae	Thetatorquevirus	Torque teno canis virus	687385	None	NC_014071
Anelloviridae	unknown	Giant panda anellovirus	2016460	None	NC_035192
Anelloviridae	unknown	Torque teno Leptonychotes weddellii virus-1	2012676	None	NC_035136
Anelloviridae	unknown	Torque teno Leptonychotes weddellii virus-2	2012677	None	NC_035135
Anelloviridae	unknown	Torque teno virus	68887	None	NC_015783
Arenaviridae	Arenavirus	Mopeia Lassa virus reassortant 29	300180	L	NC_006572
Arenaviridae	Arenavirus	Mopeia Lassa virus reassortant 29	300180	S	NC_006573
Arenaviridae	Mammarenavirus	Argentinian mammarenavirus	2169991	L	NC_005080
Arenaviridae	Mammarenavirus	Argentinian mammarenavirus	2169991	S	NC_005081
Arenaviridae	Mammarenavirus	Cali mammarenavirus	2169993	S	NC_006447
Arenaviridae	Mammarenavirus	Guanarito mammarenavirus	45219	L	NC_005082
Arenaviridae	Mammarenavirus	Guanarito mammarenavirus	45219	S	NC_005077
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	11620	L	NC_004297
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	11620	S	NC_004296,KM821998,GU481072,KM821773
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	11623	L	NC_004291
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	11623	S	NC_004294
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	11628	L	NC_005079
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	11628	S	NC_005078
Arenaviridae	Mammarenavirus	Whitewater Arroyo mammarenavirus	46919	S	NC_010700
Arteriviridae	Alphaarterivirus	Alphaarterivirus equid	2499620	None	NC_002532
Arteriviridae	Betaarterivirus	Betaarterivirus suid 2	2499685	None	NC_038291
Arteriviridae	Deltaarterivirus	Deltaarterivirus hemfev	2499622	None	NC_003092
Arteriviridae	Epsilonarterivirus	Epsilonarterivirus safriver	2501965	None	NC_029992
